,variable,importance
0,bucket_sentiment,0.0007844193359761504
1,engine_sentiment,0.002558889596278379
2,outdoor,0.020001827130357648
3,bucket_y,0.045180405276590306
4,sun,0.07223854718431155
5,grass,0.07638263564948336
6,blue_sky,0.08787702660520764
7,cloud_snow,0.10421811826790388
8,buck_rust_extent,0.19699848487193275
9,tread_wear,0.27021781427094893
10,body_rust_extent,0.32411176995868013
11,score,0.37193549996262804
12,dirt_level,0.43219225679502754
13,paint_brightness,0.5460303084881745
14,make,0.6074740363716346
15,cabin_blackness,0.7133392678456009
16,hours_final,0.7689400063285367
17,age_at_sale,1.0
