,unique_id,make,model,winning_bid,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold
0,rbauction_10199737,CATERPILLAR,272C 2 SPD HIGH FLOW,18500,4695.0,6.0,37.880232683389785,,,,,Sep
1,rbauction_10323508,BOBCAT,751,7000,4675.0,18.0,14.743168552013508,bkt,,,,Dec
2,rbauction_10544103,CATERPILLAR,252B3 2 SPD,22000,4047.0,6.0,34.750537901930926,bkt,,solid tires,,Apr
3,rbauction_10612921,DEERE,328D,18000,1370.0,6.0,32.38752108170277,bkt,,solid tires,,Jun
4,rbauction_10533374,BOBCAT,S750 2 SPD,34000,1531.0,6.0,22.688278869061346,bkt,,,,Apr
5,rbauction_10692677,CATERPILLAR,262,9000,7304.0,15.0,42.911133487829396,bkt,,,,Jun
6,rbauction_10657678,CATERPILLAR,216B,10500,6335.0,12.0,34.4493283874856,bkt,,,,Jun
7,rbauction_10602841,BOBCAT,S150,13000,2477.0,6.0,23.09567987870416,,,solid tires,,Jul
8,rbauction_10139901,CATERPILLAR,242,12500,,12.0,39.24507757732503,bkt,,,,Jul
9,rbauction_10451261,BOBCAT,S185,8000,9185.0,,34.751819212542784,,,,,Feb
10,rbauction_10444414,DEERE,318D,18500,246.0,3.0,25.92058334107481,,,,,Mar
11,rbauction_10212627,BOBCAT,S770,21000,2919.0,3.0,31.019759438642296,,,,,Sep
12,rbauction_10789629,BOBCAT,S650,24000,2637.0,3.0,26.57466367357863,Q/C bkt,,,,Sep
13,rbauction_10110066,BOBCAT,S250,13000,4584.0,9.0,21.051163484870507,bkt,,,,Jun
14,rbauction_10066990,NEW HOLLAND,L170,7750,6234.0,9.0,22.042523879436736,hyd Q/C bkt,,,,Jun
15,rbauction_10492454,DEERE,320D,15500,2038.0,6.0,34.24851961669909,bkt,,,,Mar
16,rbauction_10466509,CATERPILLAR,262D 2 SPD,19500,5044.0,3.0,31.883702490604854,grapple bkt,,,,Mar
17,rbauction_10652134,BOBCAT,S70,12500,1773.0,6.0,29.575592127658787,Q/C bkt,,,,Jun
18,rbauction_10469498,BOBCAT,S750 2 SPD,22500,4007.0,6.0,41.17954050734377,bkt,,,,Feb
19,rbauction_10344032,BOBCAT,S250,14000,2829.0,9.0,25.560426662377857,bkt,,,,Dec
20,rbauction_10753356,BOBCAT,S530,19500,2449.0,3.0,31.62554569244252,,,,,Sep
21,rbauction_10230285,BOBCAT,S300 2 SPD HIGH FLOW,21000,3527.0,9.0,21.162428891004144,hyd Q/C bkt,,,,Oct
22,rbauction_10934597,BOBCAT,S130,12500,2117.0,6.0,24.64538817450942,bkt,,,,Nov
23,rbauction_10412504,DEERE,318D,13000,1709.0,6.0,19.74670651817796,bkt,,aperture tires,,Feb
24,rbauction_10239723,BOBCAT,MT55 WALK BEHIND,8500,1460.0,9.0,20.601364131620354,,,,,Oct
25,rbauction_10522343,CATERPILLAR,256C,17000,2642.0,9.0,30.845971575693998,bkt,,,,Apr
26,rbauction_10440115,BOBCAT,S185 HIGH FLOW,16000,2493.0,9.0,17.72490062602685,bkt,,aperture tires,,Mar
27,rbauction_10097534,CASE,85XT,15500,1680.0,15.0,41.30443914023162,bkt,,,,Aug
28,rbauction_10303574,CATERPILLAR,236,15000,753.0,15.0,56.024999634045784,bkt,,solid tires,,Dec
29,rbauction_10446861,CATERPILLAR,262D 2 SPD,22000,5136.0,3.0,63.23633222869716,hyd grapple bkt,,,,Mar
30,rbauction_10447471,CATERPILLAR,246C,17000,2828.0,6.0,30.142738282759577,bkt,,,,Mar
31,rbauction_10317870,GEHL,4640,7500,17771.0,9.0,30.393675265719967,bkt,,,,Dec
32,rbauction_10238153,BOBCAT,S250,10000,5658.0,9.0,22.86707393199069,bkt,,,,Sep
33,rbauction_10356948,BOBCAT,743,7500,,27.0,25.965182021562814,bkt,,,,Jun
34,rbauction_10567553,DEERE,250,13500,1004.0,18.0,38.57228573605127,cleanup bkt,,,,Apr
