,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score,original_price,predicted_price
5364,ironplanet_1703726,0.10540609052412186,-6.7328242930088305,0,-0.6666666666666666,0,"74"" Wide General Purpose Smooth Edge Bucket",1,,Cushion Tires,,45.382918976151714,21500.0,17618.299
3191,PW_DD1289,0.17281461933350872,-1.6292163323991198,0,-1.0,0,"Kubota 68""W bucket",1,Kubota V3307-CR four cylinder turbo diesel engine,Titan 12-16.5 NHS tires,Two speed hydrostatic transmission,55.96848318570612,23500.016,21953.318
5495,rbauction_10239624,0.21970666902392466,-0.1641636431799133,0,-0.6666666666666666,0,hyd Q/C bkt,1,,,,35.5737106320358,24999.992,23390.812
2563,PW_H1380,-0.07256623955150854,-0.769452496254063,0,-0.3333333333333333,0,"80""W bucket",1,"81 HP, Case 3.2L four cylinder turbo diesel engine",12-16.5 tires,Hydrostatic transmission,38.45382572530309,17000.002,16232.981
2883,PW_J8873,-0.3055924010504629,-0.4163233419278065,0,-0.3333333333333333,0,,0,John Deere 5030TT001 3.0L turbo diesel engine,12-16.5 tires,Two speed hydrostatic transmission,72.30575317978672,12500.001,10687.944
3955,rbauction_11179388,-0.24726775590351655,0.5331956806869701,0,0.0,0,bkt,1,,,,17.750116930073006,13499.996,12449.44
1897,rbauction_11067290,-0.21970666902392466,-0.1445481897256145,0,-0.3333333333333333,0,bkt,1,,,,27.51126817410807,14000.007,13692.23
2342,PW_A7180,-0.5378913790328381,-0.5650225628904997,0,0.6666666666666666,0,"73"" bucket with bolt-on edge",1,"27 HP, Kubota four cylinder diesel engine","12-16.5NHS tires, Tires need replaced",Hydrostat transmission,44.93087677869193,9200.001,8007.932
2075,rbauction_10273233,-0.27586912621808235,0.0,1,0.0,0,bkt,1,,,,39.778862896267704,13000.003,13181.446
5880,ironplanet_1641207,0.2043961207529144,-1.2072825131442972,0,-0.6666666666666666,0,"80"" General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,,,26.15330089741212,24499.994,21929.988
5314,ironplanet_1474509,-0.09519019911061033,-1.093063948936014,0,-0.6666666666666666,0,General Purpose Smooth Edge Bucket (installed post inspection) Ultra Low Sulfur Diesel,1,,Solid Tires,,26.392765887048753,16500.002,15863.1455
5625,rbauction_10608173,-0.36878285015768775,-0.5824141296124079,0,-0.3333333333333333,0,bkt,1,,aperture tires,,15.966419232222743,11500.001,11511.665
968,rbauction_10673864,-0.09519019911061033,-0.7213964493526677,0,-0.6666666666666666,0,bkt,1,,,,23.16011920174769,16500.002,16916.357
2977,PW_K4997,-0.27586912621808235,-0.8990906839508301,0,0.3333333333333333,0,"Melroe 60Low 60""W low profile bucket",1,Caterpillar four cylinder turbo diesel engine,Samson 10-16.5NHS tires,Hydrostatic transmission,20.24216708231224,13000.003,12885.533
5989,ironplanet_1738874,0.08757358863328601,-0.9945541724729376,0,-0.6666666666666666,0,74” Wide General Purpose Smooth Edge Bucket,1,,,,45.84231966453654,20999.99,17276.805
3293,PW_DD8309,-0.7342559650537872,0.0,1,1.3333333333333333,0,"72""W bucket",1,Four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,35.770463680409705,7100.002,6550.9165
368,rbauction_10609016,-0.21970666902392466,-0.6919655766791388,0,-1.0,0,,0,,solid tires,,24.97686559829792,14000.007,13030.016
3723,rbauction_11196525,-0.5545480135607281,-0.05167639964100707,0,-0.3333333333333333,0,bkt,1,,aperture tires,,32.53738183376285,9000.005,8770.719
718,rbauction_10828832,0.13985958538880894,0.7628568826168348,0,0.6666666666666666,0,bkt,1,,,,30.31970449017324,22500.004,21723.125
3062,PW_DB3442,-0.33652920114355295,0.5860433176022719,0,0.0,0,Joystick bucket controls,1,Caterpillar four cylinder turbo diesel engine,12x16.5 tires,Two speed hydrostatic transmission,46.587788696882036,12000.001,12318.642
